       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
14 Sep 2022 16:11:00.000             -7132.720449             18229.137972            -18095.111615
14 Sep 2022 16:12:00.000             -7251.203256             18292.391331            -17979.915574
14 Sep 2022 16:13:00.000             -7368.721895             18355.641518            -17863.357125
14 Sep 2022 16:14:00.000             -7485.269628             18418.876069            -17745.444693
14 Sep 2022 16:15:00.000             -7600.839873             18482.082457            -17626.186812
14 Sep 2022 16:16:00.000             -7715.426209             18545.248094            -17505.592123
14 Sep 2022 16:17:00.000             -7829.022375             18608.360338            -17383.669371
14 Sep 2022 16:18:00.000             -7941.622271             18671.406489            -17260.427406
14 Sep 2022 16:19:00.000             -8053.219958             18734.373796            -17135.875184
14 Sep 2022 16:20:00.000             -8163.809663             18797.249455            -17010.021765
14 Sep 2022 16:21:00.000             -8273.385775             18860.020615            -16882.876310
14 Sep 2022 16:22:00.000             -8381.942847             18922.674378            -16754.448087
14 Sep 2022 16:23:00.000             -8489.475599             18985.197802            -16624.746463
14 Sep 2022 16:24:00.000             -8595.978916             19047.577903            -16493.780909
14 Sep 2022 16:25:00.000             -8701.447850             19109.801656            -16361.560995
14 Sep 2022 16:26:00.000             -8805.877623             19171.856000            -16228.096395
14 Sep 2022 16:27:00.000             -8909.263621             19233.727838            -16093.396880
14 Sep 2022 16:28:00.000             -9011.601402             19295.404038            -15957.472323
14 Sep 2022 16:29:00.000             -9112.886694             19356.871442            -15820.332693
14 Sep 2022 16:30:00.000             -9213.115391             19418.116858            -15681.988060
14 Sep 2022 16:31:00.000             -9312.283562             19479.127072            -15542.448589
14 Sep 2022 16:32:00.000             -9410.387446             19539.888843            -15401.724545
14 Sep 2022 16:33:00.000             -9507.423452             19600.388910            -15259.826286
14 Sep 2022 16:34:00.000             -9603.388163             19660.613993            -15116.764269
14 Sep 2022 16:35:00.000             -9698.278332             19720.550793            -14972.549043
14 Sep 2022 16:36:00.000             -9792.090890             19780.185998            -14827.191253
14 Sep 2022 16:37:00.000             -9884.822935             19839.506283            -14680.701636
14 Sep 2022 16:38:00.000             -9976.471743             19898.498312            -14533.091025
14 Sep 2022 16:39:00.000            -10067.034763             19957.148744            -14384.370342
14 Sep 2022 16:40:00.000            -10156.509617             20015.444230            -14234.550602
14 Sep 2022 16:41:00.000            -10244.894104             20073.371418            -14083.642911
14 Sep 2022 16:42:00.000            -10332.186195             20130.916957            -13931.658463
14 Sep 2022 16:43:00.000            -10418.384038             20188.067497            -13778.608544
14 Sep 2022 16:44:00.000            -10503.485956             20244.809691            -13624.504527
