    Time (UTCG)          Svn41_26605 - x (km)    Svn41_26605 - y (km)    Svn41_26605 - z (km)
19 Nov 2022 09:24:00.000           -18169.483509            18551.488070            -4695.094379
19 Nov 2022 09:25:00.000           -18159.545381            18509.064378            -4881.702407
19 Nov 2022 09:26:00.000           -18148.912582            18465.458978            -5067.928977
19 Nov 2022 09:27:00.000           -18137.595653            18420.667960            -5253.759414
19 Nov 2022 09:28:00.000           -18125.605214            18374.687580            -5439.179066
19 Nov 2022 09:29:00.000           -18112.951957            18327.514261            -5624.173304
19 Nov 2022 09:30:00.000           -18099.646649            18279.144594            -5808.727524
19 Nov 2022 09:31:00.000           -18085.700124            18229.575343            -5992.827147
19 Nov 2022 09:32:00.000           -18071.123287            18178.803439            -6176.457624
19 Nov 2022 09:33:00.000           -18055.927110            18126.825987            -6359.604433
19 Nov 2022 09:34:00.000           -18040.122625            18073.640261            -6542.253082
19 Nov 2022 09:35:00.000           -18023.720931            18019.243713            -6724.389111
19 Nov 2022 09:36:00.000           -18006.733184            17963.633964            -6905.998093
19 Nov 2022 09:37:00.000           -17989.170599            17906.808813            -7087.065633
19 Nov 2022 09:38:00.000           -17971.044446            17848.766233            -7267.577371
19 Nov 2022 09:39:00.000           -17952.366049            17789.504374            -7447.518986
19 Nov 2022 09:40:00.000           -17933.146784            17729.021561            -7626.876192
19 Nov 2022 09:41:00.000           -17913.398076            17667.316297            -7805.634743
19 Nov 2022 09:42:00.000           -17893.131398            17604.387266            -7983.780430
19 Nov 2022 09:43:00.000           -17872.358265            17540.233325            -8161.299090
19 Nov 2022 09:44:00.000           -17851.090238            17474.853515            -8338.176600
19 Nov 2022 09:45:00.000           -17829.338917            17408.247055            -8514.398880
19 Nov 2022 09:46:00.000           -17807.115941            17340.413342            -8689.951895
19 Nov 2022 09:47:00.000           -17784.432986            17271.351957            -8864.821659
19 Nov 2022 09:48:00.000           -17761.301759            17201.062660            -9038.994231
19 Nov 2022 09:49:00.000           -17737.734002            17129.545391            -9212.455718
19 Nov 2022 09:50:00.000           -17713.741484            17056.800275            -9385.192280
19 Nov 2022 09:51:00.000           -17689.336003            16982.827617            -9557.190124
19 Nov 2022 09:52:00.000           -17664.529382            16907.627904            -9728.435514
19 Nov 2022 09:53:00.000           -17639.333465            16831.201807            -9898.914764
19 Nov 2022 09:54:00.000           -17613.760118            16753.550178           -10068.614245
19 Nov 2022 09:55:00.000           -17587.821225            16674.674052           -10237.520382
19 Nov 2022 09:56:00.000           -17561.528685            16594.574650           -10405.619660
19 Nov 2022 09:57:00.000           -17534.894412            16513.253372           -10572.898621
19 Nov 2022 09:58:00.000           -17507.930330            16430.711804           -10739.343866
19 Nov 2022 09:59:00.000           -17480.648374            16346.951716           -10904.942059
19 Nov 2022 10:00:00.000           -17453.060484            16261.975058           -11069.679923
19 Nov 2022 10:01:00.000           -17425.178606            16175.783967           -11233.544248
19 Nov 2022 10:02:00.000           -17397.014686            16088.380761           -11396.521887
